GeneName,ComparisonName,Log2FoldChange,PValue,AdjustedPValue
ENSG00000147421,RNA_M12e2.vs.RNA_M12WT,-0.026647057,0.87058679,0.936068794
ENSG00000259366,RNA_M12e2.vs.RNA_M12WT,0.062346817,0.878083975,0.939502498
ENSG00000197892,RNA_M12e2.vs.RNA_M12WT,-0.157373707,0.262164726,0.480199328
ENSG00000120875,RNA_M12e2.vs.RNA_M12WT,0.204872098,0.040385156,0.156481524
ENSG00000243844,RNA_M12e2.vs.RNA_M12WT,-0.077736514,0.768595658,0.876511434
ENSG00000254013,RNA_M12e2.vs.RNA_M12WT,-0.0144386,0.956731342,0.979624663
ENSG00000133872,RNA_M12e2.vs.RNA_M12WT,0.246778693,0.016784712,0.092727453
ENSG00000104660,RNA_M12e2.vs.RNA_M12WT,0.020662139,0.839760775,0.918104169
ENSG00000241511,RNA_M12e2.vs.RNA_M12WT,0.92003598,0.052736921,0.184208761
ENSG00000271869,RNA_M12e2.vs.RNA_M12WT,-0.066768054,0.85287137,0.925841297
ENSG00000104671,RNA_M12e2.vs.RNA_M12WT,-0.036060068,0.711009811,0.841870356
ENSG00000248159,RNA_M12e2.vs.RNA_M12WT,-0.340622974,0.01617228,0.090545706
ENSG00000253346,RNA_M12e2.vs.RNA_M12WT,-0.120103666,0.774791505,0.879745173
ENSG00000127589,RNA_M12e2.vs.RNA_M12WT,-0.26582099,0.012574778,0.077205754
ENSG00000254109,RNA_M12e2.vs.RNA_M12WT,0.665351822,0.101042795,0.270158118
ENSG00000157110,RNA_M12e2.vs.RNA_M12WT,0.13550256,0.416249704,0.62396935
ENSG00000197265,RNA_M12e2.vs.RNA_M12WT,-0.465754354,0.002585465,0.029438335
ENSG00000104687,RNA_M12e2.vs.RNA_M12WT,-0.654252438,4.43E-05,0.001951102
ENSG00000104691,RNA_M12e2.vs.RNA_M12WT,-0.018088053,0.871539384,0.936633018
ENSG00000104695,RNA_M12e2.vs.RNA_M12WT,0.194232176,0.055647466,0.190082067
ENSG00000253204,RNA_M12e2.vs.RNA_M12WT,-0.34788759,0.068597258,0.214660782
ENSG00000253793,RNA_M12e2.vs.RNA_M12WT,0.400136669,0.316486016,0.535917049
ENSG00000165392,RNA_M12e2.vs.RNA_M12WT,-0.12732602,0.499556947,0.692776813
ENSG00000229211,RNA_M12e2.vs.RNA_M12WT,-0.233375235,0.321148503,0.540915386
ENSG00000157168,RNA_M12e2.vs.RNA_M12WT,-3.148364087,1.97E-07,7.02E-05
ENSG00000272327,RNA_M12e2.vs.RNA_M12WT,-1.926771036,0.020125095,0.103313378
ENSG00000247134,RNA_M12e2.vs.RNA_M12WT,-0.142284113,0.289046538,0.508851455
ENSG00000272338,RNA_M12e2.vs.RNA_M12WT,-0.03676603,0.838007804,0.917157655
ENSG00000172728,RNA_M12e2.vs.RNA_M12WT,-0.303677397,0.051507029,0.181657308
ENSG00000129696,RNA_M12e2.vs.RNA_M12WT,-0.29541817,0.018573473,0.098701725
ENSG00000198042,RNA_M12e2.vs.RNA_M12WT,-0.34622997,0.024950092,0.117907632
ENSG00000253995,RNA_M12e2.vs.RNA_M12WT,-0.263955718,0.507404447,0.698673765
ENSG00000133874,RNA_M12e2.vs.RNA_M12WT,0.732860284,0.003759023,0.037100992
ENSG00000240738,RNA_M12e2.vs.RNA_M12WT,-0.480506567,0.024614495,0.117002251
ENSG00000188512,RNA_M12e2.vs.RNA_M12WT,-0.927197114,0.000890488,0.014607952
ENSG00000243181,RNA_M12e2.vs.RNA_M12WT,0.206548318,0.192949798,0.400732472
ENSG00000232024,RNA_M12e2.vs.RNA_M12WT,-0.113694278,0.384856335,0.597735512
ENSG00000243503,RNA_M12e2.vs.RNA_M12WT,-0.172600872,0.717852857,0.846327919
ENSG00000183779,RNA_M12e2.vs.RNA_M12WT,1.359725595,0.001144877,0.017140903
ENSG00000147475,RNA_M12e2.vs.RNA_M12WT,-0.060969316,0.59919247,0.767543163
ENSG00000233170,RNA_M12e2.vs.RNA_M12WT,-0.083016809,0.609179546,0.774627442
ENSG00000147471,RNA_M12e2.vs.RNA_M12WT,-0.250713838,0.021464297,0.107463781
ENSG00000020181,RNA_M12e2.vs.RNA_M12WT,0.783624133,0.002661846,0.029960644
ENSG00000104221,RNA_M12e2.vs.RNA_M12WT,0.26558421,0.077161534,0.22986645
ENSG00000156675,RNA_M12e2.vs.RNA_M12WT,-0.089453828,0.446430043,0.649794907
ENSG00000187840,RNA_M12e2.vs.RNA_M12WT,0.376784149,0.091583083,0.254388818
ENSG00000129691,RNA_M12e2.vs.RNA_M12WT,0.124946814,0.172978712,0.375210034
ENSG00000175324,RNA_M12e2.vs.RNA_M12WT,-0.109553497,0.349664839,0.568169972
ENSG00000156735,RNA_M12e2.vs.RNA_M12WT,-0.106851461,0.363305942,0.578606317
ENSG00000085788,RNA_M12e2.vs.RNA_M12WT,0.024748529,0.856541167,0.927876292
ENSG00000147535,RNA_M12e2.vs.RNA_M12WT,0.314692967,0.013991594,0.082546017
ENSG00000147548,RNA_M12e2.vs.RNA_M12WT,0.156940089,0.288418464,0.50817212
ENSG00000165046,RNA_M12e2.vs.RNA_M12WT,-0.065379881,0.602559067,0.77014789
ENSG00000272159,RNA_M12e2.vs.RNA_M12WT,0.386717478,0.525626517,0.713586358
ENSG00000077782,RNA_M12e2.vs.RNA_M12WT,0.488324417,0.003810734,0.03744005
ENSG00000239218,RNA_M12e2.vs.RNA_M12WT,0.353203875,0.450705297,0.65321006
ENSG00000253570,RNA_M12e2.vs.RNA_M12WT,0.101140843,0.625147767,0.785423609
ENSG00000147526,RNA_M12e2.vs.RNA_M12WT,-0.01147239,0.93282509,0.967810342
ENSG00000169499,RNA_M12e2.vs.RNA_M12WT,0.551540064,0.003134828,0.033229343
ENSG00000169490,RNA_M12e2.vs.RNA_M12WT,0.324164258,0.011672181,0.073929888
ENSG00000168615,RNA_M12e2.vs.RNA_M12WT,0.333448197,0.022919947,0.111791547
ENSG00000197140,RNA_M12e2.vs.RNA_M12WT,-0.208017464,0.371789193,0.586151572
ENSG00000238936,RNA_M12e2.vs.RNA_M12WT,1.204764122,0.077750557,0.230901311
ENSG00000147533,RNA_M12e2.vs.RNA_M12WT,-0.241756038,0.036946054,0.148631108
ENSG00000253943,RNA_M12e2.vs.RNA_M12WT,0.799178195,0.217406909,0.42993245
ENSG00000147536,RNA_M12e2.vs.RNA_M12WT,-0.086468964,0.402729022,0.61327393
ENSG00000158669,RNA_M12e2.vs.RNA_M12WT,0.286368204,0.007893145,0.058200814
ENSG00000029534,RNA_M12e2.vs.RNA_M12WT,3.538915819,1.49E-06,0.000228099
ENSG00000083168,RNA_M12e2.vs.RNA_M12WT,0.030130122,0.859967848,0.929615596
ENSG00000070718,RNA_M12e2.vs.RNA_M12WT,-0.050346146,0.653409846,0.803708841
ENSG00000104368,RNA_M12e2.vs.RNA_M12WT,0.755802396,0.003493201,0.035567628
ENSG00000104365,RNA_M12e2.vs.RNA_M12WT,0.205538669,0.085967354,0.24559779
ENSG00000070501,RNA_M12e2.vs.RNA_M12WT,0.081008203,0.436338584,0.641623115
ENSG00000240395,RNA_M12e2.vs.RNA_M12WT,-0.093008832,0.706751955,0.839612602
ENSG00000078668,RNA_M12e2.vs.RNA_M12WT,-0.133073231,0.117173928,0.295849482
ENSG00000168575,RNA_M12e2.vs.RNA_M12WT,-0.173164252,0.096015293,0.261493553
ENSG00000254165,RNA_M12e2.vs.RNA_M12WT,-0.622914706,0.152678939,0.348167542
ENSG00000176209,RNA_M12e2.vs.RNA_M12WT,0.041389151,0.711954343,0.842564843
ENSG00000255361,RNA_M12e2.vs.RNA_M12WT,-0.38462642,0.22550046,0.439243929
ENSG00000131931,RNA_M12e2.vs.RNA_M12WT,0.230918076,0.066503159,0.210946631
ENSG00000120925,RNA_M12e2.vs.RNA_M12WT,-0.100383087,0.43933484,0.644040824
ENSG00000168172,RNA_M12e2.vs.RNA_M12WT,-0.07443258,0.684521011,0.824898787
ENSG00000168522,RNA_M12e2.vs.RNA_M12WT,-0.028674514,0.808820959,0.899797862
ENSG00000185900,RNA_M12e2.vs.RNA_M12WT,-0.121089044,0.605088366,0.77177353
ENSG00000165102,RNA_M12e2.vs.RNA_M12WT,0.64825582,0.000678766,0.012290808
ENSG00000253606,RNA_M12e2.vs.RNA_M12WT,0.096220321,0.591738192,0.762298858
ENSG00000248498,RNA_M12e2.vs.RNA_M12WT,-0.180589289,0.294621681,0.51491942
ENSG00000251470,RNA_M12e2.vs.RNA_M12WT,-0.227773006,0.217383904,0.42993245
ENSG00000215179,RNA_M12e2.vs.RNA_M12WT,-0.805991981,0.007693646,0.057349675
ENSG00000188873,RNA_M12e2.vs.RNA_M12WT,-0.233971496,0.107472194,0.28040135
ENSG00000164808,RNA_M12e2.vs.RNA_M12WT,0.003709972,0.970048188,0.986570772
ENSG00000253330,RNA_M12e2.vs.RNA_M12WT,0.087102983,0.582622759,0.755265339
ENSG00000251354,RNA_M12e2.vs.RNA_M12WT,-0.29858113,0.498263026,0.691492749
ENSG00000254065,RNA_M12e2.vs.RNA_M12WT,-0.072035833,0.771247645,0.878047473
ENSG00000221869,RNA_M12e2.vs.RNA_M12WT,-0.282842232,0.208134562,0.41859215
ENSG00000253729,RNA_M12e2.vs.RNA_M12WT,-0.968341598,0.00010784,0.003702932
ENSG00000104738,RNA_M12e2.vs.RNA_M12WT,-0.402366832,0.000507407,0.010128022
ENSG00000169139,RNA_M12e2.vs.RNA_M12WT,-0.162834458,0.335874055,0.554268385
ENSG00000224594,RNA_M12e2.vs.RNA_M12WT,-0.555602297,0.465544683,0.664597357
ENSG00000233109,RNA_M12e2.vs.RNA_M12WT,-0.388375114,0.478656353,0.675333679
ENSG00000019549,RNA_M12e2.vs.RNA_M12WT,0.488310847,0.420381578,0.627600683
ENSG00000253810,RNA_M12e2.vs.RNA_M12WT,0.443297717,0.311773621,0.531834783
ENSG00000254025,RNA_M12e2.vs.RNA_M12WT,0.023121799,0.918573795,0.959761696
ENSG00000168300,RNA_M12e2.vs.RNA_M12WT,0.301769899,0.060471015,0.199682448
ENSG00000228801,RNA_M12e2.vs.RNA_M12WT,0.40885145,0.172775698,0.375178273
ENSG00000023287,RNA_M12e2.vs.RNA_M12WT,0.116374473,0.481424945,0.677866343
ENSG00000240919,RNA_M12e2.vs.RNA_M12WT,0.07961502,0.876561929,0.938538642
ENSG00000206144,RNA_M12e2.vs.RNA_M12WT,-0.175743359,0.370586516,0.585150716
ENSG00000047249,RNA_M12e2.vs.RNA_M12WT,0.026645703,0.801219534,0.895762344
ENSG00000147509,RNA_M12e2.vs.RNA_M12WT,-0.128768884,0.399301131,0.610277295
ENSG00000187735,RNA_M12e2.vs.RNA_M12WT,-0.25128813,0.048806764,0.175892414
ENSG00000120992,RNA_M12e2.vs.RNA_M12WT,-0.34764645,0.008810589,0.062225376
ENSG00000137547,RNA_M12e2.vs.RNA_M12WT,-0.261424146,0.024761979,0.117414098
ENSG00000226098,RNA_M12e2.vs.RNA_M12WT,0.010820347,0.925068313,0.963385643
ENSG00000253114,RNA_M12e2.vs.RNA_M12WT,-1.18010735,0.002118173,0.02576181
ENSG00000248522,RNA_M12e2.vs.RNA_M12WT,-0.948632861,0.348692598,0.567552295
ENSG00000167904,RNA_M12e2.vs.RNA_M12WT,0.110368032,0.427269462,0.633164239
ENSG00000137574,RNA_M12e2.vs.RNA_M12WT,0.132369911,0.368279109,0.583344931
ENSG00000254087,RNA_M12e2.vs.RNA_M12WT,-0.069920179,0.53242277,0.718965124
ENSG00000236814,RNA_M12e2.vs.RNA_M12WT,0.027828537,0.803329193,0.896742749
ENSG00000008988,RNA_M12e2.vs.RNA_M12WT,0.033546398,0.753826176,0.868024853
ENSG00000248578,RNA_M12e2.vs.RNA_M12WT,-0.20088228,0.314061973,0.533608562
ENSG00000181690,RNA_M12e2.vs.RNA_M12WT,0.247822677,0.377107371,0.590839651
ENSG00000170791,RNA_M12e2.vs.RNA_M12WT,-0.112125157,0.322625462,0.542338813
ENSG00000170786,RNA_M12e2.vs.RNA_M12WT,0.078837235,0.720869727,0.848226834
ENSG00000253541,RNA_M12e2.vs.RNA_M12WT,-0.156472114,0.364556568,0.579824727
ENSG00000241431,RNA_M12e2.vs.RNA_M12WT,-0.071261296,0.569846808,0.746555573
ENSG00000104331,RNA_M12e2.vs.RNA_M12WT,0.184268986,0.135770976,0.324200947
ENSG00000215114,RNA_M12e2.vs.RNA_M12WT,-0.231442591,0.085275575,0.244653456
ENSG00000250031,RNA_M12e2.vs.RNA_M12WT,-0.200822425,0.40572841,0.615392777
ENSG00000137575,RNA_M12e2.vs.RNA_M12WT,-0.111822522,0.211903812,0.423096755
ENSG00000035681,RNA_M12e2.vs.RNA_M12WT,-0.140921204,0.275066844,0.493296922
ENSG00000198846,RNA_M12e2.vs.RNA_M12WT,0.88252386,0.054530612,0.187637659
ENSG00000167912,RNA_M12e2.vs.RNA_M12WT,1.253082316,0.01905579,0.100084823
ENSG00000178538,RNA_M12e2.vs.RNA_M12WT,-0.371086779,0.086036304,0.245656257
ENSG00000251396,RNA_M12e2.vs.RNA_M12WT,0.321607656,0.269996691,0.488108969
ENSG00000104388,RNA_M12e2.vs.RNA_M12WT,0.046141789,0.658475363,0.807135765
ENSG00000171316,RNA_M12e2.vs.RNA_M12WT,-0.271985663,0.109073666,0.283000776
ENSG00000255397,RNA_M12e2.vs.RNA_M12WT,0.314816067,0.096232486,0.261871724
ENSG00000213881,RNA_M12e2.vs.RNA_M12WT,-0.539495458,0.000369788,0.008206797
ENSG00000198363,RNA_M12e2.vs.RNA_M12WT,-0.478257339,0.001405632,0.019664902
ENSG00000254285,RNA_M12e2.vs.RNA_M12WT,0.921105112,2.17E-05,0.001202648
ENSG00000251127,RNA_M12e2.vs.RNA_M12WT,-1.515053247,0.002440558,0.028246901
ENSG00000237810,RNA_M12e2.vs.RNA_M12WT,0.602296668,0.03735803,0.149653082
ENSG00000253517,RNA_M12e2.vs.RNA_M12WT,-0.319037405,0.024088101,0.11547825
ENSG00000253431,RNA_M12e2.vs.RNA_M12WT,-0.109132841,0.700578937,0.836122678
ENSG00000137563,RNA_M12e2.vs.RNA_M12WT,0.101100526,0.273502684,0.491704001
ENSG00000137561,RNA_M12e2.vs.RNA_M12WT,0.171916292,0.375908576,0.589996831
ENSG00000253555,RNA_M12e2.vs.RNA_M12WT,0.889898703,0.094645111,0.25966261
ENSG00000270673,RNA_M12e2.vs.RNA_M12WT,-0.161160788,0.739003882,0.858760812
ENSG00000185728,RNA_M12e2.vs.RNA_M12WT,0.067270459,0.579301794,0.752766558
ENSG00000261542,RNA_M12e2.vs.RNA_M12WT,0.378195843,0.134290018,0.322199537
ENSG00000272010,RNA_M12e2.vs.RNA_M12WT,-0.420448423,0.224990162,0.438483009
ENSG00000104442,RNA_M12e2.vs.RNA_M12WT,-0.077924472,0.528989931,0.716297225
ENSG00000066855,RNA_M12e2.vs.RNA_M12WT,-0.263224267,0.029079952,0.128668468
ENSG00000272155,RNA_M12e2.vs.RNA_M12WT,0.091492546,0.827006192,0.910209836
ENSG00000205268,RNA_M12e2.vs.RNA_M12WT,0.152324499,0.19767932,0.40651445
ENSG00000147573,RNA_M12e2.vs.RNA_M12WT,-2.204120756,0.034405983,0.142027726
ENSG00000179041,RNA_M12e2.vs.RNA_M12WT,-0.043568813,0.733300609,0.855626869
ENSG00000147576,RNA_M12e2.vs.RNA_M12WT,0.247668004,0.444892296,0.648397192
ENSG00000253623,RNA_M12e2.vs.RNA_M12WT,-0.921979996,0.039184727,0.153679559
ENSG00000185697,RNA_M12e2.vs.RNA_M12WT,-0.205080878,0.122048537,0.303161929
ENSG00000175073,RNA_M12e2.vs.RNA_M12WT,-0.121361863,0.440835472,0.645152793
ENSG00000213865,RNA_M12e2.vs.RNA_M12WT,-0.225116816,0.387795941,0.599976375
ENSG00000104205,RNA_M12e2.vs.RNA_M12WT,-0.342390196,0.033309827,0.139615518
ENSG00000213005,RNA_M12e2.vs.RNA_M12WT,-0.306833782,0.046797233,0.171642287
ENSG00000245910,RNA_M12e2.vs.RNA_M12WT,0.331668282,0.01456398,0.084856192
ENSG00000253223,RNA_M12e2.vs.RNA_M12WT,-0.249513631,0.142891011,0.334787349
ENSG00000121022,RNA_M12e2.vs.RNA_M12WT,-0.201008419,0.042261982,0.161136873
ENSG00000104218,RNA_M12e2.vs.RNA_M12WT,-0.214964154,0.165699761,0.36603042
ENSG00000066777,RNA_M12e2.vs.RNA_M12WT,0.021869724,0.879086186,0.940239644
ENSG00000271966,RNA_M12e2.vs.RNA_M12WT,-0.092606226,0.794972477,0.89229908
ENSG00000254332,RNA_M12e2.vs.RNA_M12WT,0.161558389,0.252217863,0.469199759
ENSG00000137571,RNA_M12e2.vs.RNA_M12WT,1.817390372,0.001297854,0.018600746
ENSG00000271113,RNA_M12e2.vs.RNA_M12WT,-0.251729592,0.576370355,0.750994437
ENSG00000255107,RNA_M12e2.vs.RNA_M12WT,0.10063407,0.76642079,0.875249377
ENSG00000247570,RNA_M12e2.vs.RNA_M12WT,0.165240354,0.338507434,0.556976168
ENSG00000253721,RNA_M12e2.vs.RNA_M12WT,-0.192704906,0.177306329,0.380681417
ENSG00000253173,RNA_M12e2.vs.RNA_M12WT,0.248397986,0.200744465,0.410260932
ENSG00000140396,RNA_M12e2.vs.RNA_M12WT,0.310099212,0.050413286,0.179248254
ENSG00000213003,RNA_M12e2.vs.RNA_M12WT,0.272578001,0.229028081,0.443535845
ENSG00000067167,RNA_M12e2.vs.RNA_M12WT,0.091326818,0.435003491,0.640376523
ENSG00000147592,RNA_M12e2.vs.RNA_M12WT,-0.199260286,0.068598126,0.214660782
ENSG00000104313,RNA_M12e2.vs.RNA_M12WT,6.253429695,1.21E-06,0.00019562
ENSG00000147601,RNA_M12e2.vs.RNA_M12WT,0.313543994,0.045647323,0.169194011
ENSG00000253636,RNA_M12e2.vs.RNA_M12WT,-0.409725782,0.257512959,0.474533587
ENSG00000253564,RNA_M12e2.vs.RNA_M12WT,-0.53982282,0.355670979,0.573070854
ENSG00000147604,RNA_M12e2.vs.RNA_M12WT,-0.1190959,0.284093585,0.503463151
ENSG00000121039,RNA_M12e2.vs.RNA_M12WT,-0.335315554,0.016909033,0.093177943
ENSG00000040341,RNA_M12e2.vs.RNA_M12WT,0.051046705,0.661411646,0.80880695
ENSG00000104343,RNA_M12e2.vs.RNA_M12WT,-0.075911066,0.518731994,0.707676258
ENSG00000251633,RNA_M12e2.vs.RNA_M12WT,-0.536467195,0.131567923,0.318124531
ENSG00000154582,RNA_M12e2.vs.RNA_M12WT,-0.10681639,0.316570741,0.5359681
ENSG00000175606,RNA_M12e2.vs.RNA_M12WT,-0.0772947,0.438329759,0.643056079
ENSG00000253833,RNA_M12e2.vs.RNA_M12WT,0.660858969,0.375683457,0.589832037
ENSG00000104369,RNA_M12e2.vs.RNA_M12WT,-0.696599977,0.000384515,0.008495223
ENSG00000104381,RNA_M12e2.vs.RNA_M12WT,-0.246101567,0.057605803,0.193971469
ENSG00000253341,RNA_M12e2.vs.RNA_M12WT,-0.212315738,0.092859536,0.256231265
ENSG00000137558,RNA_M12e2.vs.RNA_M12WT,-1.745144899,0.000940339,0.015126288
ENSG00000249395,RNA_M12e2.vs.RNA_M12WT,0.345210857,0.354048608,0.571394306
ENSG00000254023,RNA_M12e2.vs.RNA_M12WT,1.31090403,0.041420937,0.158896866
ENSG00000164749,RNA_M12e2.vs.RNA_M12WT,-0.138396887,0.415980565,0.623800008
ENSG00000091656,RNA_M12e2.vs.RNA_M12WT,0.236280937,0.238119438,0.453755683
ENSG00000164751,RNA_M12e2.vs.RNA_M12WT,-0.11288358,0.258511343,0.475814946
ENSG00000171033,RNA_M12e2.vs.RNA_M12WT,-0.127404307,0.330187322,0.549307874
ENSG00000104427,RNA_M12e2.vs.RNA_M12WT,0.196510754,0.147697843,0.34148715
ENSG00000104432,RNA_M12e2.vs.RNA_M12WT,-0.214444751,0.567839906,0.744997292
ENSG00000253919,RNA_M12e2.vs.RNA_M12WT,-0.121209132,0.582647544,0.755265339
ENSG00000240540,RNA_M12e2.vs.RNA_M12WT,-0.248179263,0.212117552,0.423394393
ENSG00000164683,RNA_M12e2.vs.RNA_M12WT,2.326108419,1.24E-05,0.000844303
ENSG00000272138,RNA_M12e2.vs.RNA_M12WT,1.105486561,0.022703231,0.111117408
ENSG00000147586,RNA_M12e2.vs.RNA_M12WT,-0.167774511,0.131197231,0.317736721
ENSG00000272518,RNA_M12e2.vs.RNA_M12WT,0.554566709,0.110089173,0.284770373
ENSG00000076554,RNA_M12e2.vs.RNA_M12WT,-0.042076508,0.695590725,0.832365236
ENSG00000241746,RNA_M12e2.vs.RNA_M12WT,0.526116593,0.28155854,0.500370185
ENSG00000213791,RNA_M12e2.vs.RNA_M12WT,-0.198194258,0.769542734,0.877002493
ENSG00000251867,RNA_M12e2.vs.RNA_M12WT,0.318039797,0.333061876,0.551677237
ENSG00000205189,RNA_M12e2.vs.RNA_M12WT,0.22683837,0.156198812,0.352956841
ENSG00000260317,RNA_M12e2.vs.RNA_M12WT,0.380467297,0.104516379,0.27569248
ENSG00000188856,RNA_M12e2.vs.RNA_M12WT,-0.296825047,0.017958949,0.096585902
ENSG00000253760,RNA_M12e2.vs.RNA_M12WT,0.60790829,0.186292992,0.392257788
ENSG00000254181,RNA_M12e2.vs.RNA_M12WT,0.335880823,0.45806632,0.658899437
ENSG00000164684,RNA_M12e2.vs.RNA_M12WT,-0.667381179,0.000724787,0.012708403
ENSG00000254331,RNA_M12e2.vs.RNA_M12WT,0.812436158,0.05168776,0.181952384
ENSG00000076641,RNA_M12e2.vs.RNA_M12WT,-2.233086135,1.21E-05,0.000829039
ENSG00000253677,RNA_M12e2.vs.RNA_M12WT,0.086061657,0.686041261,0.82599064
ENSG00000164687,RNA_M12e2.vs.RNA_M12WT,-0.869166016,5.77E-05,0.002358134
ENSG00000237264,RNA_M12e2.vs.RNA_M12WT,0.127579598,0.603905505,0.770967806
ENSG00000133731,RNA_M12e2.vs.RNA_M12WT,-0.261243723,0.034659304,0.142743424
ENSG00000253598,RNA_M12e2.vs.RNA_M12WT,0.14090488,0.568790594,0.745669887
ENSG00000104231,RNA_M12e2.vs.RNA_M12WT,-0.251781917,0.042338009,0.161248395
ENSG00000164695,RNA_M12e2.vs.RNA_M12WT,0.444612782,0.003573103,0.03597095
ENSG00000104497,RNA_M12e2.vs.RNA_M12WT,-0.118720764,0.453326357,0.655461055
ENSG00000206228,RNA_M12e2.vs.RNA_M12WT,0.344205092,0.218486746,0.431069631
ENSG00000133739,RNA_M12e2.vs.RNA_M12WT,-0.3645296,0.029463756,0.129694672
ENSG00000133740,RNA_M12e2.vs.RNA_M12WT,-0.339715621,0.023867311,0.114755903
ENSG00000176731,RNA_M12e2.vs.RNA_M12WT,-0.285882427,0.03593353,0.146152507
ENSG00000185015,RNA_M12e2.vs.RNA_M12WT,-0.197749842,0.129057863,0.314446229
ENSG00000164879,RNA_M12e2.vs.RNA_M12WT,-1.458321828,0.086050356,0.245656257
ENSG00000104267,RNA_M12e2.vs.RNA_M12WT,-1.719283734,7.36E-08,4.01E-05
ENSG00000253680,RNA_M12e2.vs.RNA_M12WT,0.079935021,0.782080871,0.883874239
ENSG00000123124,RNA_M12e2.vs.RNA_M12WT,-0.03186184,0.786472902,0.886389755
ENSG00000176623,RNA_M12e2.vs.RNA_M12WT,-0.348140753,0.0047379,0.042693639
ENSG00000250569,RNA_M12e2.vs.RNA_M12WT,-0.020726996,0.902048747,0.951287073
ENSG00000085719,RNA_M12e2.vs.RNA_M12WT,-0.474165639,0.002810412,0.031028279
ENSG00000233915,RNA_M12e2.vs.RNA_M12WT,-0.223606755,0.856133046,0.927575247
ENSG00000251563,RNA_M12e2.vs.RNA_M12WT,-0.01644738,0.959801477,0.981335805
ENSG00000271156,RNA_M12e2.vs.RNA_M12WT,0.60884314,0.231626182,0.446391357
ENSG00000251136,RNA_M12e2.vs.RNA_M12WT,0.043007158,0.860995174,0.930136198
ENSG00000104312,RNA_M12e2.vs.RNA_M12WT,-0.309550258,0.016456615,0.091590924
ENSG00000164823,RNA_M12e2.vs.RNA_M12WT,-0.091369498,0.467534249,0.666340627
ENSG00000104320,RNA_M12e2.vs.RNA_M12WT,0.080056494,0.591184405,0.762040272
ENSG00000104325,RNA_M12e2.vs.RNA_M12WT,0.204676523,0.087073567,0.247374941
ENSG00000180694,RNA_M12e2.vs.RNA_M12WT,-0.290947627,0.023505772,0.113610573
ENSG00000246792,RNA_M12e2.vs.RNA_M12WT,-0.204575472,0.687812024,0.826945756
ENSG00000155099,RNA_M12e2.vs.RNA_M12WT,-0.445743677,0.004543966,0.041646304
ENSG00000253738,RNA_M12e2.vs.RNA_M12WT,0.207310507,0.168924788,0.370378629
ENSG00000155100,RNA_M12e2.vs.RNA_M12WT,-0.228798399,0.147204254,0.340767361
ENSG00000214954,RNA_M12e2.vs.RNA_M12WT,-0.376265368,0.291621718,0.511240888
ENSG00000147606,RNA_M12e2.vs.RNA_M12WT,-1.838460088,0.000210909,0.005719041
ENSG00000229182,RNA_M12e2.vs.RNA_M12WT,0.694198643,0.053497869,0.185579591
ENSG00000205133,RNA_M12e2.vs.RNA_M12WT,-1.444817728,3.54E-06,0.000363654
ENSG00000246662,RNA_M12e2.vs.RNA_M12WT,0.863198631,0.051711687,0.181952384
ENSG00000188343,RNA_M12e2.vs.RNA_M12WT,-0.043779188,0.702961098,0.837794838
ENSG00000271971,RNA_M12e2.vs.RNA_M12WT,0.278684899,0.298681147,0.51896642
ENSG00000253854,RNA_M12e2.vs.RNA_M12WT,0.339230864,0.357379016,0.57405219
ENSG00000183808,RNA_M12e2.vs.RNA_M12WT,-0.200455855,0.169298324,0.370618411
ENSG00000253848,RNA_M12e2.vs.RNA_M12WT,0.018918301,0.925876575,0.96352251
ENSG00000164953,RNA_M12e2.vs.RNA_M12WT,-0.00608653,0.965742473,0.98464223
ENSG00000254057,RNA_M12e2.vs.RNA_M12WT,1.129693462,0.169364625,0.370680922
ENSG00000254387,RNA_M12e2.vs.RNA_M12WT,-0.386408837,0.086506984,0.246431657
ENSG00000164951,RNA_M12e2.vs.RNA_M12WT,-0.889265854,8.66E-06,0.000663242
ENSG00000264448,RNA_M12e2.vs.RNA_M12WT,-0.424725963,0.22652975,0.440216763
ENSG00000251234,RNA_M12e2.vs.RNA_M12WT,-0.137678697,0.738252047,0.858191788
ENSG00000240509,RNA_M12e2.vs.RNA_M12WT,-0.388903365,0.025572067,0.119528182
ENSG00000164949,RNA_M12e2.vs.RNA_M12WT,-0.542710433,0.002944766,0.03195478
ENSG00000197275,RNA_M12e2.vs.RNA_M12WT,-0.085117077,0.456223682,0.657787612
ENSG00000164944,RNA_M12e2.vs.RNA_M12WT,-0.182311075,0.149220524,0.343350553
ENSG00000253704,RNA_M12e2.vs.RNA_M12WT,0.977087553,0.032230424,0.136636686
ENSG00000261437,RNA_M12e2.vs.RNA_M12WT,-0.359658566,0.105013497,0.276345572
ENSG00000104413,RNA_M12e2.vs.RNA_M12WT,-0.345773748,0.004666971,0.042280432
ENSG00000156162,RNA_M12e2.vs.RNA_M12WT,0.020809022,0.873792826,0.937572557
ENSG00000164941,RNA_M12e2.vs.RNA_M12WT,-0.659308193,0.000229063,0.005966882
ENSG00000175305,RNA_M12e2.vs.RNA_M12WT,0.367207723,0.025275666,0.118879158
ENSG00000272509,RNA_M12e2.vs.RNA_M12WT,-0.769428819,0.081814685,0.238415762
ENSG00000243979,RNA_M12e2.vs.RNA_M12WT,0.397786258,0.180722422,0.385236497
ENSG00000156170,RNA_M12e2.vs.RNA_M12WT,0.243643135,0.063725128,0.20572407
